TRACKER_ID,ORDER_ID,LOCATION,TRACKER_STATUS,LAST_UPDATE,PORT_ID
TK9062,OR7386,Walvis Bay,Delivered,23/04/2025 10:07,P045
TK5023,OR6839,Los Angeles,Pending,21/03/2025 10:16,P050
TK8931,OR6775,"Port of Thames, London",In Transit,22/04/2025 17:53,P023
TK1313,OR7338,Port Botany,In Transit,24/04/2025 14:41,P029
TK4094,OR6599,Dover Strait,Pending,24/03/2025 13:25,P017
TK8792,OR6321,Port of Veracruz,In Transit,21/04/2025 11:24,P035
TK4346,OR6140,Port Everglades,Pending,14/04/2025 11:18,P036
TK8215,OR7704,Port of Veracruz,In Transit,20/04/2025 23:29,P035
TK3552,OR7793,Honolulu,Delivered,05/04/2025 13:53,P012
TK3957,OR7439,Port Louis,Pending,10/04/2025 12:04,P043
TK2644,OR6144,Hong Kong,Delivered,11/04/2025 12:01,P040
TK7728,OR6945,Colon (Panama Canal entrance),Pending,18/03/2025 16:56,P010
TK6819,OR6469,Rodman (Pacific side),In Transit,29/04/2025 10:32,P011
TK7051,OR7273,Cape Town,Pending,06/04/2025 07:30,P052
TK2518,OR7774,Port Said (Suez Canal entrance),Pending,23/03/2025 09:53,P005
TK2410,OR6437,Hamburg,In Transit,28/04/2025 12:12,P019
TK5777,OR5898,Southampton,In Transit,23/04/2025 07:21,P008
TK9416,OR5747,Southampton,Delivered,18/04/2025 19:11,P008
TK7438,OR5805,Jakarta,In Transit,22/04/2025 20:03,P041
TK4882,OR5995,Hong Kong,In Transit,27/04/2025 13:40,P040
TK8159,OR6185,Walvis Bay,Delivered,23/04/2025 10:38,P045
TK2528,OR6178,Lisboa,In Transit,28/04/2025 14:21,P027
TK7643,OR7512,Walvis Bay,In Transit,27/04/2025 17:22,P045
TK8651,OR6503,Honolulu,In Transit,27/04/2025 20:12,P012
TK2696,OR7324,Port Louis,Delivered,18/04/2025 11:59,P043
TK2611,OR6307,Montreal Port,Delivered,14/04/2025 08:37,P014
TK4627,OR6611,"Port of Thames, London",In Transit,24/04/2025 14:35,P023
TK2709,OR6337,Singapore (Singapore Strait),In Transit,24/04/2025 17:31,P002
TK2223,OR6968,Port Botany,In Transit,20/04/2025 17:12,P029
TK8030,OR5752,Walvis Bay,Pending,28/03/2025 07:59,P045
TK1578,OR6728,St. Petersburg,In Transit,22/04/2025 23:32,P024
